資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	上映週數	上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房截至2017年九月前資訊	38.pdf	0	6	玩命關頭8	2017-04-12	美國	26.0	105	2673906	650779458	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	39	復仇者聯盟：無限之戰	2018-04-25	美國	4.0	91	2447246	607777195	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	90	與神同行	2017-12-22	南韓	22.0	85	2188019	511963121	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	8	76	黑豹	2018-02-13	美國	14.0	87	1561007	371933317	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	55	一級玩家	2018-03-29	美國	8.0	90	1391357	358165761	True
全國電影票房2018年01/29-02/04統計資訊	69.pdf	13	100	金牌特務：機密對決	2017-09-20	美國	20.0	90	1407119	334119380	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	8	神力女超人	2017-05-30	美國	23.0	103	1405577	333171557	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	8	100	雷神索爾3：諸神黃昏	2017-10-24	美國	23.0	90	1335107	315081464	False
全國電影票房截至2017年四月前資訊	33.pdf	0	3	怪獸與牠們的產地	2016-11-17	美國	25.0	104	1261927	309461461	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	10	81	蜘蛛人：返校日(數位IMAX2D版)	2017-07-05	美國	23.0	103	1254472	295264979	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	1	10	神鬼傳奇	2017-06-07	美國	22.0	104	1204446	286709130	False
全國電影票房截至2017年八月前資訊	37.pdf	0	3	金剛：骷髏島	2017-03-09	美國	27.0	103	1078442	256562230	False
全國電影票房截至2017年八月前資訊	37.pdf	0	5	美女與野獸(數位IMAX2D版)	2017-03-16	美國	26.0	103	1082643	251334708	False
全國電影票房截至2017年六月前資訊	35.pdf	1	9	惡靈古堡：最終章	2017-01-26	美國	24.0	96	1009919	247789829	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	6	76	正義聯盟	2017-11-16	美國	22.0	90	1027954	246315632	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	8	98	氣象戰	2017-10-13	美國	23.0	84	1021642	242358641	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	6	加勒比海盜神鬼奇航：死無對證	2017-05-25	美國	24.0	102	982770	228518043	False
全國電影票房截至2017年六月前資訊	35.pdf	2	23	羅根(數位IMAX2D版)	2017-02-28	美國	19.0	104	940885	221478181	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	1	12	變形金剛5：最終騎士	2017-06-21	美國	20.0	102	894993	217382257	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	89	野蠻遊戲：瘋狂叢林	2017-12-27	美國	21.0	88	872111	202676905	True
全國電影票房截至2017年六月前資訊	35.pdf	0	8	限制級戰警：重返極限	2017-01-20	美國	25.0	103	785201	186094597	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	9	2	神偷奶爸3	2017-06-29	美國	22.0	98	802035	182399115	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	85	移動迷宮：死亡解藥	2018-01-19	美國	18.0	89	766418	173287817	True
全國電影票房2018年04/23-04/29統計資訊	84.pdf	6	61	紅雀	2018-02-28	美國	9.0	88	728574	172374758	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	4	49	環太平洋2:起義時刻	2018-03-21	美國	7.0	90	705453	169819944	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	2	我和我的冠軍女兒	2017-03-24	印度	33.0	78	727718	166844341	False
全國電影票房截至2017年六月前資訊	35.pdf	1	12	分裂	2017-02-03	美國	23.0	89	705227	163650691	False
全國電影票房2017年11/13-11/19統計資訊	46.pdf	8	1	猩球崛起：終極決戰	2017-07-13	美國	19.0	102	710552	161369568	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	12	97	模犯生	2017-07-21	泰國	23.0	63	646910	147943802	False
全國電影票房截至2017年九月前資訊	38.pdf	0	9	星際異攻隊2	2017-04-27	美國	24.0	102	600344	143562410	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	5	57	古墓奇兵	2018-03-08	美國	9.0	89	573634	136653689	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	93	可可夜總會	2017-11-24	美國	26.0	88	600838	135232352	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	47	毀滅大作戰	2018-04-12	美國	6.0	87	571918	134393550	True
全國電影票房截至2017年七月前資訊	36.pdf	0	1	樂來越愛你	2016-12-09	美國	35.0	89	560953	132621642	False
全國電影票房截至2017年六月前資訊	35.pdf	0	4	長城	2016-12-29	美國	28.0	103	550437	129314897	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	8	75	角頭2：王者再起	2018-02-14	中華民國	14.0	79	555678	127166337	True
全國電影票房2018年01/15-01/21統計資訊	67.pdf	10	83	牠(數位IMAX2D版)	2017-09-07	美國	20.0	88	495311	116367230	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	9	89	鋼鐵英雄	2016-11-25	美國	75.0	98	507735	115709426	False
全國電影票房截至2017年三月前資訊	32.pdf	0	1	比利•林恩的中場戰事	2016-11-11	美國	22.0	99	290080	114147252	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	9	87	敦克爾克大行動	2017-07-20	美國	32.0	105	453406	113575145	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	12	94	安娜貝爾：造孽	2017-08-10	美國	20.0	87	478895	111997735	False
全國電影票房截至2017年六月前資訊	35.pdf	1	11	海洋奇緣	2017-01-26	美國	24.0	93	476413	107640123	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	6	74	STARWARS：最後的絕地武士	2017-12-13	美國	19.0	88	414830	106018939	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	10	92	紅衣小女孩2	2017-08-25	中華民國	19.0	85	465443	105729876	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	8	77	花甲大人轉男孩	2018-02-09	中華民國	15.0	89	455560	101945882	True
全國電影票房2018年04/30-05/06統計資訊	85.pdf	8	85	歌喉讚3	2017-12-27	美國	19.0	86	437111	100447547	False
全國電影票房截至2017年八月前資訊	37.pdf	0	7	寶貝老闆	2017-03-31	美國	24.0	99	440534	98172481	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	7	93	東方快車謀殺案	2017-12-08	美國 	18.0	90	409540	94641518	False
全國電影票房截至2017年四月前資訊	33.pdf	1	15	刺客教條	2016-12-28	美國	19.0	91	397753	92950881	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	91	大娛樂家	2017-12-20	美國	22.0	89	394758	91790512	True
全國電影票房2017年12/11-12/17統計資訊	50.pdf	11	87	殺手保鑣	2017-08-18	美國	18.0	80	398757	91504452	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	7	97	血觀音	2017-11-24	中華民國 	20.0	64	394828	88619125	False
全國電影票房截至2017年六月前資訊	35.pdf	1	15	格雷的五十道陰影：束縛	2017-02-10	美國	22.0	97	370091	86912455	False
全國電影票房截至2017年九月前資訊	38.pdf	1	18	吃吃的愛	2017-05-27	中華民國	20.0	71	371675	85206922	False
全國電影票房截至2017年四月前資訊	33.pdf	0	8	星際大戰外傳：俠盜一號	2016-12-14	美國	21.0	98	338989	85199341	False
全國電影票房截至2017年五月前資訊	34.pdf	2	16	捍衛任務2：殺神回歸	2017-02-10	美國	18.0	87	369314	84883420	False
全國電影票房截至2017年七月前資訊	36.pdf	1	15	攻殼機動隊	2017-03-30	美國	19.0	101	346977	84698846	False
全國電影票房截至2017年九月前資訊	38.pdf	0	12	異形：聖約(數位IMAX2D版)	2017-05-10	美國	22.0	103	349594	81823528	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	7	海灘救護隊	2017-05-25	美國	24.0	98	349935	78800513	False
全國電影票房截至2017年四月前資訊	33.pdf	1	11	星際過客	2016-12-21	美國	20.0	96	324927	74306193	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	50	噤界	2018-04-04	美國	7.0	84	309749	71954359	True
全國電影票房2017年12/25-12/31統計資訊	52.pdf	10	91	美國製造	2017-08-25	美國	19.0	86	304958	70840298	False
全國電影票房2017年11/13-11/19統計資訊	46.pdf	7	8	名偵探柯南：唐紅的戀歌	2017-07-14	日本	19.0	71	304974	70363276	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	78	格雷的五十道陰影：自由	2018-02-09	美國	15.0	82	292002	69386194	True
全國電影票房截至2017年六月前資訊	35.pdf	1	10	大釣哥	2017-01-26	中華民國	24.0	89	314760	69325684	False
全國電影票房截至2017年六月前資訊	35.pdf	2	22	為了與你相遇	2017-02-24	美國	20.0	95	305261	69219176	False
全國電影票房2017年12/11-12/17統計資訊	50.pdf	11	88	軍艦島	2017-08-18	南韓	18.0	73	305141	69176348	False
全國電影票房截至2017年五月前資訊	34.pdf	6	45	電影版聲之形	2017-03-24	日本	12.0	66	293848	68664809	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	10	74	獵殺星期一	2017-09-07	法國	19.0	75	299342	68647131	False
全國電影票房截至2017年四月前資訊	33.pdf	0	5	歡樂好聲音	2016-12-09	美國	22.0	93	288008	64908809	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	9	87	奇蹟男孩	2017-12-01	美國	23.0	77	274220	61155158	False
全國電影票房截至2017年六月前資訊	35.pdf	0	7	關鍵少數	2017-01-13	美國	26.0	87	264273	60310989	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	9	83	解憂雜貨店	2017-10-13	日本	20.0	58	268489	59834514	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	8	77	疾速救援	2018-01-12	法國	16.0	61	246949	56860489	False
全國電影票房截至2017年九月前資訊	38.pdf	0	4	刀劍神域劇場版-序列爭戰	2017-02-24	日本	33.0	38	213256	55460938	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	12	96	銀翼殺手2049	2017-10-06	美國	18.0	10	231767	55456292	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	10	88	逃出絕命鎮	2017-04-21	美國	45.0	88	239377	54322661	False
全國電影票房截至2017年七月前資訊	36.pdf	1	17	目擊者	2017-03-31	中華民國	19.0	80	232563	52415112	False
全國電影票房截至2017年九月前資訊	38.pdf	1	13	亞瑟：王者之劍	2017-05-11	美國	22.0	102	218324	49271308	False
全國電影票房截至2017年三月前資訊	32.pdf	0	4	決戰異世界：弒血之戰	2016-12-01	美國	19.0	97	212837	48648581	False
全國電影票房截至2017年四月前資訊	33.pdf	1	14	擺渡人	2016-12-23	香港	20.0	97	212631	47955235	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	9	79	追龍	2017-09-29	香港	17.0	67	211200	47549356	False
全國電影票房截至2017年五月前資訊	34.pdf	1	8	52赫茲我愛你	2017-01-23	中華民國	20.0	83	202845	46270614	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	13	102	CARS3閃電再起	2017-08-07	美國	26.0	88	204389	45927013	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	9	7	玩命再劫	2017-08-03	美國	18.0	95	186172	42102315	False
全國電影票房2017年12/11-12/17統計資訊	50.pdf	11	93	報告老師！怪怪怪怪物！	2017-07-28	中華民國	21.0	87	186608	41839767	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	9	佈局	2017-06-02	西班牙	23.0	44	181623	40872928	False
全國電影票房截至2017年六月前資訊	35.pdf	0	2	最美的安排	2016-12-15	美國	30.0	92	176102	40461215	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	8	80	奪魂鋸：遊戲重啟	2017-11-10	英國	15.0	81	170986	39400552	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	8	79	我只是個計程車司機	2017-09-08	南韓	26.0	69	176311	39399150	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	10	94	老師你會不會回來	2017-09-29	中華民國	21.0	78	178421	38874129	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	6	65	遊戲人生	2017-12-08	日本	14.0	13	124070	36919644	False
全國電影票房截至2017年五月前資訊	34.pdf	1	9	健忘村	2017-01-26	中華民國	20.0	96	161737	36615705	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	5	62	12猛漢	2018-01-19	美國	14.0	77	163354	36100389	False
全國電影票房截至2017年四月前資訊	33.pdf	1	13	惱爸偏頭痛	2016-12-23	美國	20.0	80	147915	33907602	False
全國電影票房截至2017年九月前資訊	38.pdf	0	10	天才的禮物	2017-04-28	美國	24.0	73	153772	33830117	False
全國電影票房截至2017年六月前資訊	35.pdf	0	5	同盟鶼鰈	2017-01-06	美國	27.0	93	144620	33112717	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	7	79	縮小人生	2018-01-26	美國	16.0	84	145610	32918325	False
全國電影票房2017年11/13-11/19統計資訊	46.pdf	6	5	星際特工瓦雷諾：千星之城(數位2D)	2017-08-03	法國	16.0	88	141679	32546668	False
全國電影票房截至2017年五月前資訊	34.pdf	4	26	愛國者行動	2017-02-24	英國	16.0	67	139324	31999969	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	64	玩命颶風	2018-03-08	美國	11.0	69	141633	31824717	True
