資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	發行商	製片商	統計起始日	統計結束日	統計週期	本期上映院數	本期銷售票數	本期銷售金額	累計上映天數	上映週數	最大上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	1	真心話大冒險	2018-05-11	美國	美商美國環球影片股份有限公司台灣分公司	UNIVERSALINTERNATIONALFILMS LLC	2018-05-14	2018-05-20	weekly	84	76595	17534477	NULL	2.0	84	134511	30618445	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	10	黑腥企業	2018-05-11	法國	天馬行空數位有限公司	INDIE SALESCOMPANY	2018-05-14	2018-05-20	weekly	6	492	105671	NULL	2.0	6	1007	215935	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	11	風流大丈夫	2018-05-11	南韓	車庫娛樂股份有限公司	CONTENTS PANDA	2018-05-14	2018-05-20	weekly	7	441	99955	NULL	2.0	7	976	222480	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	2	厭世媽咪日記	2018-05-11	美國	傳影互動股份有限公司	(匈牙利)FREEWAYENTERTAINMENTKFT.	2018-05-14	2018-05-20	weekly	27	8322	1958414	NULL	2.0	27	16118	3837856	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	3	市長夫人的秘密	2018-05-11	中華民國	威視股份有限公司	中國信託創業投資股份有限公司##十全媒體娛樂行銷股份有限公司##天予電影有限公司##愛情大師電影股份有限公司	2018-05-14	2018-05-20	weekly	61	8154	1829149	NULL	2.0	61	17443	3922363	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	4	今夜，在浪漫劇場與妳相遇	2018-05-11	日本	采昌國際多媒體股份有限公司	PONY CANYON,INC.	2018-05-14	2018-05-20	weekly	42	6813	1572811	NULL	2.0	42	13525	3109251	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	5	夢想心樂章	2018-05-11	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	MISSION PICTURESINTERNATIONAL,LLC	2018-05-14	2018-05-20	weekly	22	3732	847567	NULL	2.0	22	6607	1505421	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	6	跨越8年的新娘	2018-05-11	日本	向洋影業有限公司	SHOCHIKU CO.,LTD	2018-05-14	2018-05-20	weekly	20	2569	569975	NULL	2.0	20	4835	1085789	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	7	家戰	2018-05-11	法國	亮點國際影業有限公司	CELLULOIDDREAMS SAS	2018-05-14	2018-05-20	weekly	9	1160	246485	NULL	2.0	9	2064	445125	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	8	原罪犯	2018-05-11	南韓	車庫娛樂股份有限公司	(香港)INFINITYENTERTAINMENTLTD.	2018-05-14	2018-05-20	weekly	8	810	181675	NULL	2.0	8	1559	349631	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	9	尋愛偵探阿洛伊斯	2018-05-11	瑞士	前景娛樂有限公司	HUGOFILMPRODUCTIONS	2018-05-14	2018-05-20	weekly	8	731	158560	NULL	2.0	8	1041	225090	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	12	怒戰天下	2018-05-11	俄羅斯	車庫娛樂股份有限公司	CENTRALPARTNERSHIPSALES HOUSE LLC	2018-05-14	2018-05-20	weekly	3	283	63650	NULL	2.0	3	561	127280	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	13	愛情線索2：奇妙關係	2018-05-11	中華民國	台灣牛角電影有限公司	台灣牛角電影有限公司	2018-05-14	2018-05-20	weekly	1	48	12000	NULL	2.0	1	48	12000	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	14	環大西洋2：重生時刻	2018-05-11	美國	英屬維京群島商映畫聯合有限公司台灣分公司	THE GLOBALASYLUM, INC.	2018-05-14	2018-05-20	weekly	2	53	10030	NULL	2.0	2	128	24950	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	15	詭音	2018-05-11	美國	暗光鳥有限公司	(加拿大)BREKTHROUGHENTERTAINMENTINC.	2018-05-14	2018-05-20	weekly	2	11	2320	NULL	2.0	2	34	7150	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	16	天靈眼	2018-05-11	美國	暗光鳥有限公司	LIGHTNINGENTERTAINMENTGROUP, INC.	2018-05-14	2018-05-20	weekly	2	6	1220	NULL	2.0	2	32	6660	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	17	親愛的初戀	2018-05-04	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETHCENTURY FOXINTERNATIONALCORPORATION.	2018-05-14	2018-05-20	weekly	61	8489	1977432	NULL	3.0	61	50686	11749188	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	18	視界戰	2018-05-04	德國	海樂影業股份有限公司	(匈牙利)GEMENTERTAINMENTKFT.	2018-05-14	2018-05-20	weekly	45	3426	788671	NULL	3.0	46	30782	7089145	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	19	文豪STRAYDOGS劇場版［DEADAPPLE］	2018-05-04	日本	曼迪傳播有限公司	KADOKAWACORPORATION	2018-05-14	2018-05-20	weekly	7	2167	543826	NULL	3.0	8	9578	2330210	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	20	電影版機器戰士TOBOT～機器人軍團的襲擊～	2018-05-04	南韓	鴻基國際視訊股份有限公司	CJ E&M	2018-05-14	2018-05-20	weekly	22	1281	292569	NULL	3.0	23	6370	1480714	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	21	地球：奇蹟的一天	2018-05-04	英國	香港商甲上娛樂有限公司台灣分公司	BBC WORLDWIDELIMITED	2018-05-14	2018-05-20	weekly	23	1088	245520	NULL	3.0	28	7693	1751119	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	88	陰兒房第4章：鎖命亡靈	2018-01-05	美國	博偉電影股份有限公司	(美國)SONYPICTURESRELEASINGINTERNATIONALCORPORATION.	2018-05-14	2018-05-20	weekly	2	159	23590	NULL	20.0	81	141309	31420871	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	89	野蠻遊戲：瘋狂叢林	2017-12-27	美國	博偉電影股份有限公司	SONY PICTURESRELEASINGINTERNATIONALCORPORATION.	2018-05-14	2018-05-20	weekly	2	100	8410	NULL	21.0	88	872111	202676905	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	90	與神同行	2017-12-22	南韓	采昌國際多媒體股份有限公司	(匈牙利)FREEWAYENTERTAINMENTKFT.	2018-05-14	2018-05-20	weekly	1	292	64240	NULL	22.0	85	2188019	511963121	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	91	大娛樂家	2017-12-20	美國	美商廿世紀福斯影片股份有限公司台灣分公司	(美國)TWENTIETHCENTURY FOXINTERNATIONALCORPORATION.	2018-05-14	2018-05-20	weekly	5	703	38770	NULL	22.0	89	394758	91790512	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	92	現代啟示錄	2017-12-11	美國	傳影互動股份有限公司	(英國)STUDIOCANALLTD.	2018-05-14	2018-05-20	weekly	1	28	5470	NULL	23.0	1	50	9825	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	93	可可夜總會	2017-11-24	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2018-05-14	2018-05-20	weekly	3	194	13350	NULL	26.0	88	600838	135232352	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	94	隱藏的大明星	2017-11-24	印度	車庫娛樂股份有限公司	(模里西斯)ATLMEDIA LTD.	2018-05-14	2018-05-20	weekly	1	24	10800	NULL	26.0	68	122958	26810984	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	95	狂人皮埃落	2017-11-20	法國	傳影互動股份有限公司	STUDIOCANALS.A.S.	2018-05-14	2018-05-20	weekly	1	33	6395	NULL	26.0	1	44	8530	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	96	積存時間的生活	2017-11-10	日本	海鵬影業有限公司	BITTASTE,INC.	2018-05-14	2018-05-20	weekly	1	92	18415	NULL	28.0	7	8801	1885719	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	97	越戰獵鹿人	2017-11-06	美國	傳影互動股份有限公司	(英國)STUDIOCANALLTD	2018-05-14	2018-05-20	weekly	1	25	4870	NULL	28.0	1	43	8405	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	10	98	輕蔑	2017-10-23	法國	傳影互動股份有限公司	STUDIOCANALS.A.S.	2018-05-14	2018-05-20	weekly	1	29	5670	NULL	30.0	1	156	32185	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	100	REAL	2017-08-04	南韓	車庫娛樂股份有限公司	(匈牙利)GEMENTERTAINMENTKFT.	2018-05-14	2018-05-20	weekly	1	31	6820	NULL	42.0	13	23221	5130878	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	101	台北物語	2017-05-19	中華民國	丰采公關行銷有限公司	丰采公關行銷有限公司	2018-05-14	2018-05-20	weekly	1	210	46200	NULL	53.0	6	16094	3953520	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	102	尋找快樂的15種方法	2015-06-26	德國	香港商甲上娛樂有限公司台灣分公司	HECTOR GLUECKGMBH	2018-05-14	2018-05-20	weekly	1	9	1260	NULL	151.0	1	10	1360	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	103	三分男孩	2014-04-11	美國	香港商甲上娛樂有限公司台灣分公司	WWB SP,LLC BYSIERRA /AFFINITYLLC	2018-05-14	2018-05-20	weekly	1	2	250	NULL	214.0	1	2	250	True
