fileName	pageNum	lineIdx	country	name	pubDate	publisher	production	pub_days	cur_theaters	max_theaters	cur_tickets	cur_sales	total_tickets	total_sales
47.pdf	3	7		療癒心方向	2017-10-31	台北市文化基金會	m-appeal	-1	1	-1	1	100	4	590
47.pdf	3	8	巴西	傷我最深的愛人	2017-10-30	中華民國電影創作協會	Pluto FilmDistribution NetworkGmbh	-1	1	-1	8	1000	9	1150
47.pdf	3	9	中華民國	翻滾吧！男人	2017-10-27	牽猴子整合行銷股份有限公司	翻滾吧男孩電影有限公司##影一製作所股份有限公司##牽猴子整合行銷股份有限公司	-1	6	-1	409	86185	14003	3129271
47.pdf	3	10	中華民國	阿莉芙	2017-10-27	海鵬影業有限公司	蔓菲聯爾創意製作有限公司	-1	2	-1	25	5355	9868	2171278
47.pdf	3	11	南韓	季春奶奶	2017-10-27	車庫娛樂股份有限公司	(匈牙利)ATRIUMPRODUCTIONSKFT.	-1	1	-1	16	3530	6630	1484776
47.pdf	3	12	美國	雷神索爾3：諸神黃昏	2017-10-24	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	-1	84	-1	29450	6954021	1299886	309035376
81.pdf	0	1	美國 	午夜遊戲 	2018-04-06	暗光鳥有限公司 	VOLTAGE PICTURES, LLC 	-1	2	-1	62	13005	62	13005
81.pdf	0	2	德國 	飢膚 	2018-04-06	暗光鳥有限公司 	（英國）JINGA FILMSLIMITED	-1	2	-1	22	4650	22	4650
81.pdf	0	3	美國 	噤界 	2018-04-04	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNT PICTURESCORPORATION 	-1	84	-1	148643	34444821	148643	34444821
81.pdf	0	4	美國 	比得兔 	2018-04-04	博偉電影股份有限公司	SONY PICTURESRELEASINGINTERNATIONALCORPORATION.	-1	86	-1	78511	17950013	78651	17978013
81.pdf	0	5	南韓 	雨妳再次相遇 	2018-04-04	車庫娛樂股份有限公司 	LOTTE ENTERTAINMENT 	-1	48	-1	36635	8589287	37477	8785607
81.pdf	0	6	美國 	恩德培行動 	2018-04-04	英屬維京群島商高捷全球開發有限公司台灣分公司	(美國)STORYTELLERDISTRIBUTION CO., LLC 	-1	53	-1	19250	4385515	19250	4385515
81.pdf	0	7	美國 	糯爾摩斯 	2018-04-04	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNT PICTURESCORPORATION 	-1	73	-1	18108	4108145	18108	4108145
81.pdf	0	8	日本	特別版FREE！男子游泳部－TAKEYOURMARKS－	2018-04-04	采昌國際多媒體股份有限公司 	ABC ANIMATION, INC. 	-1	13	-1	7852	1942513	7852	1942513
81.pdf	0	9	英國 	寂寞大師 	2018-04-04	傳影互動股份有限公司 	HANWAY FILMS LIMITED 	-1	15	-1	3686	831358	3686	831358
81.pdf	0	10	挪威 	魔女席瑪 	2018-04-04	鏡象電影製作有限公司	(法國)MEMENTO FILMSINTERNATIONAL	-1	14	-1	1504	337681	1504	337681
81.pdf	0	11	法國 	最酷的旅伴 	2018-04-03	海鵬影業有限公司 	(匈牙利)FREEWAYENTERTAINMENT KFT.	-1	9	-1	4845	1038005	4893	1047760
81.pdf	0	12	法國 	卡拉絲：為愛而聲 	2018-04-03	采昌國際多媒體股份 有限公司 	MK2 FILMS-SOCIÉTÉ PAR ACTIONS SIMPLIFIÉE 	-1	9	-1	1882	411848	2082	455848
81.pdf	0	13	中華民國 	有一種喜歡 	2018-03-30	九星電影有限公司 	九星電影有限公司##風山漸(香港)有限公司 	-1	48	-1	20922	4715416	33247	7476563
81.pdf	1	14	日本 	劇場版無敵鐵金剛/INFINITY 	2018-03-30	曼迪傳播有限公司 	TOEI ANIMATION CO., LTD. 	-1	25	-1	14800	3489461	25513	6028608
81.pdf	1	15	美國 	老闆好壞 	2018-03-30	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	STX PRODUCTIONS,LLC 	-1	55	-1	5825	1308889	13322	3008238
81.pdf	1	16	南韓 	消屍的夜晚 	2018-03-30	車庫娛樂股份有限公司 	CONTENTS PANDA 	-1	12	-1	2483	558819	4770	1081408
